"","SiteCode","mean","sd"
"1","Ayora.ES",2.0375,0.124299058725318
"2","GIG",2.28425,0.164372182213762
"3","P12",2.1701875,0.0856809269907837
"4","P13",2.0482875,0.089121593302954
"5","PNE_unburned",2.43148333333333,0.268488475854489
"6","Purdue.us",2.1519,0.445249134113219
"7","Sev.mix",2.31796,0.200243025679631
"8","baddrt.de",2.26466,0.0635487599319521
"9","brhill.au",2.729225,0.156490710586923
"10","brookdale.ca",1.93933333333333,0.122053835116586
"11","cedarsav.us",2.54164,0.1309941915591
"12","cobar.au",2.18474762123047,0.506692231350626
"13","cowidrt.ca",1.81878,0.46770110778383
"14","dona.ana",2.4769125,0.0504928690156201
"15","hoide.de",1.2881,0.641684963202349
"16","horacg,cr",2.195775,0.162741651091538
"17","hyide.de",1.2068,0.40094704887304
"18","lygra.no",0.85985,0.154272288503153
"19","nyngan.au",2.78025,0.226686648629042
"20","passogavia.it",0.567725,0.0869207644105497
"21","riomayo.ar",1.93173333333333,0
"22","scruzl.us",2.5362,0
"23","sgsdrt.us",2.0183125,0.428270836996203
"24","skotsvar.no",0.2908,0
"25","ukulingadrt.za",2.03526666666667,0.120556172246246
"26","wayqe.re",0.2908,0.0852028168548435
