"SiteCode","RainTrt","CoreNum","ActualGWC_m","ActualGWC_sd","BD_m","BD_sd","DOC_m","DOC_sd","CO2_eq_m","CO2_eq_sd","MBC_m","MBC_sd","SOM_m","SOM_sd"
"Ayora","Ambient",1,0.224590288937767,0.0174262446579892,0.97486730327807,0.0820190763283398,0.240658893066463,0.0464729702350626,1.79095252866499,0.238943662692853,0.419809929337655,0.230806007592137,13.4254254101991,1.01119104578204
"Ayora","Ambient",2,0.290349056995648,0.110374367070421,0.992392274364354,0.14025802341017,0.399795758129029,0.184383678497975,3.63088405251563,2.85631116474688,0.274442987302208,0.205525697665812,20.3124629331526,1.23987816177556
"Ayora","Ambient",3,0.291828631138976,0.0705864396936887,0.934537265513479,0.248350501910208,0.285129769766375,0.0387481686460604,2.52486065383317,0.54264691550941,0.294162306656184,0.0927412497834396,14.0756537436979,1.7824305008487
"Ayora","Ambient",4,0.358442600911358,0.0444587998349444,1.06844448824938,0.107918462029273,0.278832241845817,0.0640223782621022,2.74973945542594,0.824471354726246,0.146559339544547,0.174384122547461,12.2219171674546,0.703539223730245
"Ayora","Ambient",5,0.268315773885081,0.0807803456328641,1.07176615012419,0.119595995545618,0.298385565192961,0.146308307102536,2.34149130960954,0.756935045295177,0.478761183595739,0.35370715875873,14.1666740898293,2.43001942425661
"Ayora","Ambient",6,0.367223226387935,0.0370167588057906,1.0685501710005,0.0834736144307891,0.248262526712613,0.00947817021250151,2.97821634841826,0.724333159253395,0.200602341786668,0.153907501541131,13.292336628643,1.3135510518061
"Ayora","Drought",1,0.210023041474654,0.0429445966267999,1.03282602460714,0.0203358604105369,0.281378497684681,0.136597229271554,1.89887233531462,1.02520383959066,0.530199956163398,0.0800583121394731,12.0048832982934,1.63511167539883
"Ayora","Drought",2,0.31771913595274,0.0315570515210135,0.98847596246442,0.141587149570614,0.330776264350288,0.16989742336356,2.90251757255091,1.17000436158736,0.316211721781142,0.289688280386612,13.5406770110014,3.54518326984605
"Ayora","Drought",3,0.245913284942885,0.0850987879235116,1.0230129299854,0.0414490704011869,0.494746439266101,0.155324869213116,2.38800626948814,0.826168823870233,1.07602750169998,0.505835710188918,16.9999977921147,2.35063507142384
"Ayora","Drought",4,0.313811330353009,0.0762670483368423,0.995052489034567,0.0983806470516757,0.318458004064566,0.097344394048822,4.12879164222689,3.24472056354098,0.419677985258602,0.456195838148532,12.6876755056139,2.67491127247163
"Ayora","Drought",5,0.268503057904867,0.0841893831263442,0.95618565746252,0.338969163888081,0.393182577965078,0.204717114382463,3.0811449682976,1.77986155570524,0.395817247011852,0.0106721587457308,15.1702860429303,4.25251062301881
"Ayora","Drought",6,0.341600851094522,0.0521165606401003,0.862942828377686,0.282823446029073,0.317171520635266,0.0803289987538447,3.8937400681722,2.85357883115099,0.251268648475561,0.209698098133982,13.9092753088696,1.05094609189813
"brhill","Ambient",1,0.161258894362343,0.0185737537967985,1.53999470267213,0.0882784247216643,0.00744019274167544,0.003386857838201,0.725042121889511,0.520297383272779,0.0092428489570854,0.00371855042570576,1.92610562551592,0.417790943983062
"brhill","Ambient",2,0.0955913978494624,0.0450116568707379,1.59295539436069,0.108536450643141,0.00991402212273259,0.00624005526743946,0.766535191817161,0.246571373604893,0.0210734912762497,0.0103889374304144,1.99445821841796,0.280970001482254
"brhill","Ambient",3,0.0827094474153298,0.0486261963967986,1.6531643634761,0.0690473923561237,0.0103314035909201,0.0160403669330841,0.849508756696087,0.16614228298601,0.0313609585390743,0.0235107996468248,1.963769282595,0.360766771372762
"brhill","Ambient",4,0.0742404051172708,0.0536239833732674,1.67500463990714,0.0523694460887269,0.00801650194414631,0.00449444183417697,0.71365699993265,0.291502794338693,0.037724306525885,0.0259041221370815,1.80732455765613,0.195228803259994
"brhill","Ambient",5,0.111171132238548,0.0144597510874936,1.60132605258904,0.0432485036557703,0.00726992518133491,0.00650074758072676,1.70670826174917,0.958683461064149,0.0285083598146839,0.0265208563921575,2.00227746496638,0.103771219978988
"brhill","Ambient",6,0.110403349699155,0.0450697872817658,1.59528026890977,0.0221013900928715,0.00569425230202295,0.00493749191484062,0.811370436471789,0.451078731183834,0.0527377318284238,0.0251231001286072,1.82071570214437,0.571048341318259
"brhill","Drought",1,0.146671061305208,0.0117042062653691,1.61187073300431,0.0599968751003633,0.00939561283782872,0.00945116494649986,0.759015733825726,0.830109273587213,0.0128472365504227,0.018369012985232,1.46516071238761,0.041581621004922
"brhill","Drought",2,0.12604963262858,0.0252633966254907,1.67162440861271,0.0291400535950077,0.00822928822987612,0.00712992658439611,1.08371123680765,0.633383718198741,0.0119818802021833,0.00538300318425111,1.85052602652916,0.0614580397116178
"brhill","Drought",3,0.105542168674699,0.0631047315327487,1.67044422163977,0.0534328707789125,0.0101142389916634,0.00253843171047994,0.559373541729219,0.0797090268262622,0.0345648242381695,0.0305510065971491,1.71588958948951,0.077508046035009
"brhill","Drought",4,0.0854575163398692,0.0116655681363409,1.67795517262862,0.0334814793605522,0.0134918961634426,0.00967110492314126,0.934492217265973,0.215002071853785,0.0222321124889868,0.0204212143169757,1.81152055461637,0.0465002461558971
"brhill","Drought",5,0.120682223061459,0.0590707122314063,1.73553512741736,0.0873702036610304,0.00631953822874489,0.00507242866570959,0.652976793373103,0.309107571486288,0.047250601369436,0.0250768296662923,1.80495550895369,0.170393616912182
"brhill","Drought",6,0.0522139498432601,0.0335499350022219,1.74993694277954,0.0201509311911662,0.011462591517383,0.00585853350876916,0.580080674242454,0.34834582215826,0.0274199539332986,0.021452287586453,1.82437521521219,0.123718928288689
"brookdale","Ambient",1,0.346663317269843,0.0631477928612444,0.47368367609625,0.0384246099446814,0.189896928820748,0.0340884573257386,44.225560379521,18.7284607710565,0.945802439071765,0.171395452157807,18.4513454469369,1.60098821668195
"brookdale","Ambient",2,0.34847542361458,0.036849171770611,0.386230811722243,0.0741264857362519,0.255175890892766,0.0752637794712686,58.0696306096363,44.3117261744728,0.89616953955123,0.110900793650703,19.1902356902357,0.116660714741183
"brookdale","Ambient",3,0.336944338858931,0.0150861379045675,0.470311208759587,0.0622876757622208,0.200367358166286,0.0164590483647012,39.4578474671771,8.69695336002203,0.874169229769717,0.252207103368009,17.9448634681193,1.0219690506778
"brookdale","Ambient",4,0.31729357081478,0.0260736829731239,0.428084545407791,0.0498751938765696,0.130346168320672,0.0410752124954803,39.9861998524197,6.70200352730857,0.918137833852486,0.372456927483655,18.9172334236728,1.06815568185697
"brookdale","Ambient",5,0.374051536599565,0.0424903104341947,0.51672452449362,0.065300064172386,0.196482123437483,0.0236965634934145,40.8709068893445,14.9049829782713,0.732982795626021,0.0918658719300594,17.5177676679659,1.79960901543099
"brookdale","Ambient",6,0.339534693923385,0.0417000806212038,0.530752059920082,0.115584638534098,0.136085845986526,0.0397214710702713,32.4242051446266,16.8855649192838,0.89834338436672,0.189020588724322,18.2095022447384,1.60595182245443
"brookdale","Drought",1,0.310095372733004,0.0556868374596988,0.473815591695087,0.0700093962117554,0.286164928524399,0.0245647865020643,30.0007856403798,4.86703564611893,0.790561533180465,0.0542382683081749,19.804701078666,1.23575310847456
"brookdale","Drought",2,0.34403593376579,0.00754929958577365,0.371864645985835,0.191443151457081,0.307755523665733,0.0287492655657971,66.3003032371249,40.4219554878031,0.88926646019905,0.210921695373885,20.0949472569116,1.455965044656
"brookdale","Drought",3,0.347793217140108,0.0302864293290442,0.438149018930956,0.177058211235491,0.326381998471868,0.0946322681886954,44.2512919818499,22.6584700042872,0.829262046150672,0.262991685756231,20.3714891194332,1.07779212377843
"brookdale","Drought",4,0.339263548424597,0.0702608771868376,0.493286912800771,0.09924115712068,0.333718502400846,0.0952388467076988,43.9723908772652,2.12909448919376,0.697889259649467,0.275688233099252,20.5938965018386,1.10542612537952
"brookdale","Drought",5,0.308826205641492,0.063484951138679,0.508229762371061,0.0162136062386874,0.257150414947902,0.0871941420365725,34.6770612846448,8.61250602140548,0.84931600021432,0.182775614223583,19.8510154204188,1.25521507442049
"brookdale","Drought",6,0.349477696216827,0.0685678674911643,0.438605157234619,0.024035340650222,0.292052151433818,0.0924744510926881,33.7573433275832,10.59803781663,0.877319992691187,0.235218715088027,19.3248022101824,0.870430201051836
