n,alpha,theta_s,theta_r
1.21961324101108,9.99999893271165,0.504982106757517,0
1.40323888610433,9.9999999386358,0.738852493337027,0
1.52844063572633,9.9999999638665,0.749285305420295,0
1.40288967454039,9.99999990116765,0.764487771463165,0
1.37957143947862,9.99999904884277,0.598566124965233,0
1.49559744932854,9.99999928484158,0.627858604071976,0
1.37569293414406,9.99999917182757,0.375467805507783,0
1.54946203000783,9.99999994270873,0.672827877868886,0
1.38738000953812,9.99999622578019,0.392158463384437,0
1.67188923945038,9.99999873470536,0.752341485778001,0
1.19276238043295,9.99999719750903,0.573952592395717,0
2.07352567088993,2.22404555329554,0.380637136927174,0
1.50046838995051,9.99999707647469,0.638466113619188,0
1.59646582267763,9.99999997574645,0.408520604647205,0
1.4836707048571,9.99999167917263,0.442552624014817,0
1.25061212358984,9.99999931707698,0.584847790634238,0
1.27142798934098,9.99999285309017,0.270000036406247,0
1.28604737334046,9.99999882913498,0.408053430913345,0
1.38266322612614,9.99999836872009,0.470866034647424,0
1.21165165983444,4.54590788923231,0.278939939004325,0
1.49575752841172,9.9999979246465,0.330000025343244,0
1.59988951083666,9.9999988261759,0.549847876678886,0
1.542137980602,9.99999996355097,0.410624405536011,0
1.137437312247,9.99987710186887,0.238062602099721,0
1.52016650693829,9.99999926833631,0.597819190294897,0
1.62662008388599,9.99999960037584,0.334706197821984,0
